auxcosp,descr,unidad,grupplat
25.1387602,AMARETTO DISSARONNO COPA,COPA,B11
18.8507072,ANIS LAS CADENAS COPA,COPA,B11
17.7605751,BAILEYS COPA,COPA,B11
23.6364219,CASIS SISCA COPA,COPA,B0
33.3518248,CHARTREUSSE AMARILLO COPA,COPA,B0
48.5983347,CHARTREUSSE VERDE COPA,COPA,B11
13.1252656,CHINCHON DULCE COPA,COPA,B0
13.0143256,CHINCHON SECO COPA,COPA,B0
27.7863347,CONTREAU COPA,COPA,B11
17.5927918,CONTROY COPA,COPA,B0
27.5138781,DRAMBUIE COPA,COPA,B0
3.5106932,***DRY SACK COPA,COPA,B0
12.8456969,***DUBONET COPA,COPA,B0
9.7774194,FERNET HV COPA,COPA,B11
29.81065,***HPNOTIQ COPA,COPA,B11
19.0137198,JAGERMEISTER COPA,COPA,B0
9.7347584,KAHLUA COPA,COPA,B0
24.39781,LICOR DEL 43 COPA,COPA,B11
31.6612453,MANDARINE NAPOLEON COPA,COPA,B11
12.8697981,***MA***,COPA,B0
14.1221559,MARTINI DRY COPA,COPA,B11
15.1023544,MARTINI ROSSO COPA,COPA,B11
3.05089,MENTA VERDE COPA,COPA,B0
18.8066619,MIDORI COPA,COPA,B11
18.9188835,AMARO AVERNA COPA,COPA,B11
21.0187453,FRANGELICO COPA,COPA,B11
13.9268198,GALLIANO COPA,COPA,B0
35.88397,STREGA COPA,COPA,B11
16.5019137,SAMBUCA BLANCO COPA,COPA,B11
18.4094754,SAMBUCA NEGRO COPA,COPA,B11
17.9116863,CAMPARI COPA,COPA,B11
23.1179217,FIJI CHICA,BOTELLA,B0
36.190005,FIJI GRANDE,BOTELLA,B0
21.525005,SAN PELLEGRINO 237ML,BOTELLA,B0
6.615005,AGUA CIEL,BOTELLA,B13
8.2811109,NARANJADA,COPA,B13
18.0778098,JARRA DE NARANJADA,JARRA,B13
9.1998871,LIMONADA,COPA,B13
19.2622672,JARRA DE LIMONADA,JARRA,B13
8.82333,JUGO NARANJA,COPA,B13
0.016665,***PROSECCO VALDOBBIADENE,COPA,B0
9.5183333,CERVEZA NACIONAL,BOTELLA,B15
28.8856694,MARTINI NEGRONI,COPA,B18
0.0,***MARTINI TOS***,COPA,B0
29.2096034,BELLINI DURAZNO COPA,COPA,B14
28.5169266,BELLINI FRESA COPA,COPA,B14
37.8059894,MARGARITA CADILLAC,COPA,B0
42.3045802,MARTINI SECO COPA,COPA,B18
42.6363064,MARTINI PERFECTO COPA,COPA,B18
42.8962682,MARTINI DULCE COPA,COPA,B18
42.3045802,MARTINI SUCIO COPA,COPA,B18
30.0272202,MARTINI JAMES BOND COPA,COPA,B18
14.9402429,MARTINI COSMOPOLITAN,COPA,B18
14.59528,CLAMATO NATURAL,COPA,B14
10.9178793,CONGA COPA,COPA,B14
10.6428734,PIÑADA,COPA,B14
7.7371041,MARGARITA S/A DURAZNO,COPA,B14
29.490005,BOOST,LATA,B0
35.390005,RED BULL,LATA,B0
10.0662999,REFRESCO,LATA,B13
10.9229362,SANGRIA NATURAL VASO,COPA,B14
24.5063994,JARRA DE SANGRIA NATURAL,COPA,B14
20.5919183,TUTTA FRUTTA VASO,COPA,B14
40.4475684,TUTTA FRUTTA JARRA,COPA,B14
17.558498,PIÑA COLADA COPA,COPA,B14
20.0606676,MARGARITA COPA,COPA,B14
10.795734,DAIQUIRI COPA,COPA,B14
16.1701148,PIEDRA COPA,COPA,B14
20.8090423,BULL COPA,COPA,B14
18.5915162,CLAMATO CON CERVEZA,COPA,B14
9.5941509,ALFONSO XIII COPA,COPA,B0
4.5602315,ESPRESSO,TAZA,B16
8.649656,ESPRESSO DOBLE,TAZA,B16
5.0572115,AMERICANO,TAZA,B16
8.751656,AMERICANO DOBLE,TAZA,B16
9.927796,CAPUCCINO,TAZA,B16
19.3832469,CHAI,TAZA,B0
8.6760176,CHOCOLATE,TAZA,B0
14.8435734,MOKA CALIENTE,TAZA,B16
13.6222404,LATTE,TAZA,B16
9.9452659,CAPUCCINO FRIO,TAZA,B16
18.7087006,CHAI FRIO,TAZA,B0
8.946781,CHOCOLATE FRIO,TAZA,B0
16.3356699,MOKA FRIO,TAZA,B16
13.1119326,LATTE FRIO,TAZA,B16
7.885787,***INFUSION G,TAZA,B0
165.0,CABERNET DOC ORNELLA,BOTELLA,V16
230.000025,EROS IGT,BOTELLA,V16
46.000005,EROS IGT COPA,COPA,V16
309.999975,VITE ROSSA IGT,BOTELLA,V16
393.0,VALPOLLICELLA RIPASSO 750,BOTELLA,V1
0.083325,***PROSECCO DI VALDOBBIADENE**,BOTELLA,V16
189.0,PROSECCO EDIZIONE ORO,BOTELLA,V1
37.8,PROSECCO EDIZIONE COPA,COPA,V17
176.000025,PINOT GRIGIO DOC,BOTELLA,V1
35.200005,PINOT GRIGIO COPA,COPA,V17
123.0,NERO D'AVOLA IGT,BOTELLA,V2
24.6,NERO D'AVOLA IGT COPA,COPA,V17
123.0,MERLOT I.G.T. ORNELLA,BOTELLA,V16
91.8,MERLOT TAVOLA COPA,COPA,V17
1071.0,IL BORRO IGT,BOTELLA,V16
245.000025,***GAVIUS MONFERRATO RO***,BOTELLA,V16
688.8,***A MATILDE GIUSTANIANI,BOTELLA,V16
245.000025,***CORTE DOC***,BOTELLA,V16
0.0,ALIMENTO FUERA DE CARTA,ORDEN,A5
0.0,BEBIDA FUERA DE CARTA,COPA,B0
69.1425963,INSALATA CAPRESE DI BUFFALA,ORDEN,A12
49.4115422,MARTINI MANHATTAN,COPA,B18
